"","genus","species","GrowthT","Rep","a_root_area","b_root_area","c_root_area","RMSE_root_area","r2_root_area","a_root_mass","b_root_mass","c_root_mass","RMSE_root_mass","r2_root_mass"
"data","Pinus","sylvestris","30","1","-2.39357317304814","0.0702242865466886","-0.000486157472238871","0.0809049185875447","0.943057289619974","-7.06258226823498","0.0674940662939152","-0.000448171677358544","0.0807348776864652","0.941908369726098"
"data","Pinus","sylvestris","30","2","-2.70999154176727","0.12948275183948","-0.00157949854529428","0.0810471862758779","0.93432481205153","-7.32387997359896","0.130064525162931","-0.00159120884260613","0.0789346136253898","0.937387860884043"
"data","Pinus","sylvestris","30","3","-1.29270452274111","0.0495418224787642","-0.00043469649609875","0.0827898966732335","0.728319541526034","-6.00206247063081","0.0502779432094199","-0.000452488441333954","0.0845416451939249","0.713492709848958"
"data","Pinus","sylvestris","35","1","-2.34558805666343","0.105037067535121","-0.00123969903358939","0.0889410988406557","0.894382210106079","-6.68965445281589","0.104564053199639","-0.00123193411979058","0.0894204577301197","0.893104270945769"
"data","Pinus","sylvestris","35","2","-0.770288014345193","0.0332948506574179","-0.000762696563635421","0.103315077796771","0.362449300683895","-4.85504919921778","0.0349051142654201","-0.000784157072440922","0.102282135258523","0.357314591238899"
"data","Pinus","sylvestris","35","3","-0.547184052342191","-0.00305595557582838","0.000292929851675466","0.115967505067501","0.383658316913781","-4.91133546675943","-0.00328948998780885","0.000294167363734957","0.114902378848767","0.382617115580124"
"data","Zea","mays","15","1","-2.44094436092868","0.0727129824364176","-0.000564493164093185","0.297534744824639","0.393019277983531","-7.02734684032857","0.0736534621472682","-0.000572545574584179","0.30232336207605","0.389459706419937"
"data","Zea","mays","15","2","-1.22782039277116","0.0992291305076336","-0.000991984597553485","0.123388483893751","0.870852296472709","-5.90641805437791","0.0982836826735053","-0.000976963279543585","0.12301520163305","0.87112389049372"
"data","Zea","mays","15","3","-1.81046729711684","0.130805506009917","-0.00175846366888174","0.0835367084494365","0.889986705415299","-6.58164847107195","0.13011195481974","-0.00174672266198179","0.0844450680311049","0.887392847675226"
"data","Zea","mays","20","1","-1.77685973158623","0.147064198656578","-0.00238544241636082","0.100622343848212","0.70462641223756","-6.35105673449137","0.146754606520314","-0.0023818934543721","0.10154113815764","0.69873990186864"
"data","Zea","mays","20","2","-0.913374049656669","0.0642631804840618","-0.000637927489172811","0.301687142046386","0.0293586795375551","-5.63493799404122","0.0648689343857305","-0.000644715576511517","0.303626477877126","0.0304956295893355"
"data","Zea","mays","25","1","-3.86594461075182","0.378872846097107","-0.00817453474398724","1.02674592488034","0.340804778360754","-7.86303856134577","0.341254691932904","-0.00741569950787429","0.937920257626168","0.350156103527123"
"data","Zea","mays","25","3","2.24032749913897","-0.146836128368705","0.00233224607188573","0.195172628721957","0.281552953755139","-2.35539191701829","-0.147474186349865","0.00234433517169571","0.195346388771044","0.284161704088838"
"data","Zea","mays","30","2","-1.45571698655526","0.109789917687243","-0.00123360259425569","0.105424491564168","0.888437076042174","-5.89108035023172","0.108549476757404","-0.00121413486004065","0.104844137023563","0.888906319615793"
"data","Zea","mays","30","4","3.33597180808547","-0.222268543507841","0.00363276808591778","0.132490164968663","0.30204583162254","-1.67974569732699","-0.217184970379632","0.00355689523115533","0.132470148113934","0.291551019747915"
"data","Zea","mays","30","5","-1.69289784785703","0.138914839795786","-0.00214348052598909","0.162387139963894","0.374448601430002","-6.4507656786912","0.139608868709489","-0.00215168670944566","0.16250314140035","0.380741015302451"
"data","Zea","mays","30","6","-0.917620238636573","0.111951326588955","-0.00189107580090098","0.11672289646867","0.518990542102834","-5.98009208503173","0.111343130837106","-0.00188079999723324","0.11581265566696","0.520726677023521"
"data","Zea","mays","35","1","-2.18974060452465","0.107527021879542","-0.00184706980094234","0.118496700935929","0.371050149045165","-6.77645966250851","0.108773101199296","-0.00186679934640466","0.121608976725441","0.357514328704091"
"data","Zea","mays","35","2","-4.10916436100009","0.26914398159198","-0.00411583815131098","0.133487058562998","0.858462928356451","-8.76907661992058","0.268978882654556","-0.00411487509157094","0.134217062824929","0.856563133256672"
"data","Zea","mays","35","3","-3.04689060606933","0.190760480017065","-0.00261741536326617","0.0371456782330925","0.871098443479661","-7.68895570423507","0.193314462137529","-0.00265045275263548","0.0358772059060681","0.883216309736975"
